iter	Passed	Remaining
1372	4268	1016
1373	4272	1013
1374	4276	1010
1375	4281	1008
1376	4287	1005
1377	4292	1002
1378	4297	1000
1379	4300	997
1380	4304	994
1381	4309	991
1382	4315	989
1383	4320	986
1384	4325	983
1385	4329	980
1386	4334	978
1387	4339	975
1388	4344	972
1389	4349	970
1390	4355	967
1391	4360	964
1392	4365	962
1393	4370	959
1394	4375	956
1395	4379	953
1396	4384	951
1397	4393	949
1398	4398	946
1399	4403	943
1400	4408	940
1401	4411	937
1402	4415	934
1403	4421	932
1404	4426	929
1405	4431	926
1406	4439	924
1407	4444	921
1408	4449	918
1409	4454	916
1410	4460	913
1411	4465	910
1412	4468	907
1413	4470	904
1414	4473	901
1415	4476	897
1416	4478	894
1417	4481	891
1418	4484	888
1419	4486	884
1420	4489	881
1421	4492	878
1422	4494	874
1423	4496	871
1424	4499	868
1425	4502	865
1426	4504	861
1427	4507	858
1428	4510	855
1429	4513	852
1430	4515	848
1431	4518	845
1432	4521	842
1433	4523	839
1434	4526	835
1435	4529	832
1436	4531	829
1437	4534	826
1438	4537	822
1439	4539	819
1440	4542	816
1441	4544	813
1442	4547	809
1443	4549	806
1444	4552	803
1445	4555	800
1446	4557	796
1447	4560	793
1448	4563	790
1449	4565	787
1450	4568	784
1451	4571	780
1452	4573	777
1453	4576	774
1454	4579	771
1455	4581	767
1456	4584	764
1457	4587	761
1458	4590	758
1459	4592	754
1460	4595	751
1461	4598	748
1462	4600	745
1463	4603	742
1464	4606	738
1465	4609	735
1466	4613	732
1467	4615	729
1468	4618	726
1469	4621	723
1470	4624	719
1471	4626	716
1472	4629	713
1473	4632	710
1474	4634	706
1475	4638	703
1476	4641	700
1477	4644	697
1478	4646	694
1479	4649	691
1480	4652	687
1481	4654	684
1482	4657	681
1483	4659	678
1484	4662	675
1485	4665	671
1486	4667	668
1487	4670	665
1488	4672	662
1489	4675	658
1490	4678	655
1491	4681	652
1492	4683	649
1493	4686	646
1494	4689	643
1495	4691	639
1496	4694	636
1497	4697	633
1498	4699	630
1499	4703	627
1500	4705	623
1501	4708	620
1502	4711	617
1503	4714	614
1504	4716	611
1505	4719	607
1506	4722	604
1507	4724	601
1508	4727	598
1509	4730	595
1510	4733	592
1511	4735	588
1512	4738	585
1513	4741	582
1514	4743	579
1515	4746	576
1516	4749	572
1517	4751	569
1518	4754	566
1519	4756	563
1520	4759	560
1521	4761	556
1522	4763	553
1523	4766	550
1524	4769	547
1525	4771	544
1526	4774	540
1527	4777	537
1528	4779	534
1529	4782	531
1530	4785	528
1531	4788	525
1532	4790	521
1533	4793	518
1534	4796	515
1535	4799	512
1536	4802	509
1537	4805	506
1538	4809	503
1539	4812	499
1540	4815	496
1541	4817	493
1542	4820	490
1543	4823	487
1544	4826	484
1545	4828	480
1546	4831	477
1547	4833	474
1548	4836	471
1549	4839	468
1550	4842	465
1551	4845	462
1552	4848	458
1553	4850	455
1554	4853	452
1555	4855	449
1556	4858	446
1557	4861	443
1558	4863	439
1559	4866	436
1560	4869	433
1561	4872	430
1562	4874	427
1563	4877	424
1564	4880	421
1565	4883	417
1566	4887	414
1567	4892	411
1568	4898	408
1569	4903	406
1570	4908	403
1571	4913	400
1572	4915	396
1573	4918	393
1574	4921	390
1575	4924	387
1576	4926	384
1577	4929	381
1578	4932	377
1579	4935	374
1580	4937	371
1581	4940	368
1582	4942	365
1583	4945	362
1584	4948	359
1585	4951	355
1586	4954	352
1587	4956	349
1588	4959	346
1589	4962	343
1590	4965	340
1591	4968	337
1592	4971	333
1593	4974	330
1594	4978	327
